"","Symbol","Price/Book Ratio","CurrentRatio","NetCurrentRatio","P.E.Ratio","Ask","BookPrice","Beta","Name","Trade.Time","Market.Capitalization","Earnings.Share","Price.Book","Shares.Outstanding","Currency","date","cash","shortTermInvestments","netReceivables","inventory","otherCurrentAssets","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","otherAssets","totalAssets","accountsPayable","shortLongTermDebt","otherCurrentLiab","longTermDebt","otherLiab","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","goodWill","intangibleAssets","deferredLongTermAssetCharges","capitalSurplus","deferredLongTermLiab","minorityInterest","X.ticker."
"321","TTWO",10.03471454631,1.83902812589669,1.41458181074049,-1,0,12.5255188960774,0.979769638354012,"Take-Two Interactive Software, ","2023-05-08 16:00:04",21200762880,-2.34,2.2175763,168675008,"USD","2022-03-31",1732047000,820060000,684346000,13224000,453600000,3871088000,36134000,459245000,482835000,6546219000,125882000,NA,1159833000,NA,420299000,2104964000,2736560000,1390000,2288993000,-1077929000,-57345000,3809659000,2112742000,674554000,1022363000,73801000,2597205000,NA,NA,"TTWO"
"322","XYL",-125.080873290323,1.89433962264151,0.677006068779501,52.360973,107.85,-0.858164745484946,1.06324524067701,"Xylem Inc.","2023-05-08 16:03:26",19387535360,2.05,5.537556,180618000,"USD","2022-12-31",944000000,NA,1096000000,799000000,NA,3012000000,NA,940000000,351000000,7952000000,723000000,NA,619000000,1880000000,730000000,1590000000,4449000000,2000000,2292000000,-934000000,-226000000,3494000000,-155000000,2719000000,930000000,146000000,2134000000,NA,9000000,"XYL"
"323","ARE",1.15315969990111,3.07646534772663,0.149263108411801,26.713974,125.61,106.099789612401,1.15563811022936,"Alexandria Real Estate Equities","2023-05-08 16:00:01",21168263168,4.58,1.1209652,173014000,"USD","2022-12-31",825193000,NA,1009487000,NA,81881000,1916561000,1653509000,30675411000,662280000,35523399000,389741000,30000,209131000,10159732000,1674818000,622975000,12840152000,1707000,NA,-20812000,-20812000,18972387000,18356749000,NA,615638000,NA,18991492000,548022000,3710860000,"ARE"
"324","TDY",-9.07060384256669,1.84974399369831,0.455889728365501,26.068727,420.8,-45.5813083476457,1.086788094246,"Teledyne Technologies Incorpora","2023-05-08 16:03:19",19451002880,15.86,2.3246858,47045600,"USD","2023-01-01",638100000,NA,1158400000,890700000,6600000,2817900000,NA,911900000,310600000,14354000000,505700000,300100000,258700000,3620500000,911300000,1523400000,6181100000,500000,4561800000,-746500000,-726500000,8169200000,-2144400000,7873000000,2440600000,NA,4353400000,NA,3700000,"TDY"
"325","CNP",3.87980238048781,0.919029923723841,0.164854055571148,24.007936,30.22,7.79678915291423,0.806334688911084,"CenterPoint Energy, Inc (Holdin","2023-05-08 16:00:02",19088627712,1.26,2.0582433,631028992,"USD","2022-12-31",74000000,542000000,1673000000,876000000,1412000000,4699000000,NA,27162000000,2353000000,38546000000,1352000000,1509000000,1577000000,14836000000,8541000000,5113000000,28504000000,6000000,709000000,-31000000,-31000000,9252000000,4920000000,4294000000,38000000,NA,8568000000,2193000000,NA,"CNP"
"326","VTR",2.15928911089711,0.396581424925765,0.0312702771083201,-1,48,21.9701931451177,1.21559527324851,"Ventas, Inc.","2023-05-08 16:03:33",18978562048,-0.1,1.8675694,400054016,"USD","2022-12-31",122564000,NA,211874000,NA,93074000,427512000,742339000,20847554000,776731000,24157840000,939445000,NA,6637000,12296780000,127669000,1077993000,13671513000,99912000,-5449385000,-37336000,-36800000,10152968000,8789264000,1044415000,319289000,10490000,15539777000,NA,333359000,"VTR"
"327","COO",11.3683032732035,1.19793782221528,0.355197331851028,51.07275,392.95,33.9637291555877,0.848413597706957,"The Cooper Companies, Inc.","2023-05-08 16:03:20",19095339008,7.56,2.6002073,49455700,"USD","2022-10-31",138200000,NA,557800000,628700000,400000,1533600000,NA,1432900000,3031000000,11492300000,248800000,338000000,466700000,2347100000,686600000,1280200000,4317600000,5400000,6584900000,-1181300000,-466800000,7174500000,1679700000,3609700000,1885100000,2443100000,1765500000,NA,200000,"COO"
"328","STE",-15.6288140312064,2.03746711746196,0.38512268093365,-1,192.13,-12.0917686967943,0.851718649086107,"STERIS plc (Ireland)","2023-05-08 16:00:01",18762766336,-0.28,3.1109354,99284400,"USD","2022-03-31",348320000,NA,799041000,574999000,2780000,1878997000,NA,1741056000,70661000,11423594000,225737000,142875000,NA,2945481000,856198000,922222000,4878957000,4742920000,1999244000,-209808000,-209808000,6532356000,-1200524000,4404343000,3328537000,NA,NA,NA,12281000,"STE"
"329","EXPD",5.74060904150551,2.19955989493952,1.82406186122244,15.215405,0,20.3027252735745,0.981174291456097,"Expeditors International of Was","2023-05-08 16:00:04",17807908864,7.66,5.7829714,152792000,"USD","2022-12-31",2034131000,NA,2107645000,NA,376241000,4518017000,NA,1009419000,55071000,5590434000,1108996000,NA,370176000,NA,NA,2054055000,2476899000,1543000,3310892000,-202553000,-202553000,3110021000,3102094000,7927000,NA,37449000,139000,NA,3514000,"EXPD"
"330","DRI",65.7189386723465,0.638376184032476,0.148583954847813,19.639215,150.39,2.32946605032705,1.06235892220736,"Darden Restaurants, Inc.","2023-05-08 16:03:13",18513025024,7.65,8.901528,120929000,"USD","2022-05-29",420600000,NA,71400000,270600000,326900000,1179400000,NA,6821100000,218800000,10135800000,366900000,28000000,583100000,901000000,414700000,1847500000,7937600000,2226000000,-25900000,-1900000,-1900000,2198200000,281700000,1037400000,879100000,NA,NA,NA,NA,"DRI"
"331","NDAQ",-5.95118638463237,0.973853989813243,0.585146898803047,23.87826,0,-9.22841170285025,1.18413839378448,"Nasdaq, Inc.","2023-05-08 16:00:04",26952923136,2.3,4.362885,490767008,"USD","2022-12-31",502000000,NA,677000000,NA,7405000000,8604000000,476000000,976000000,132000000,20868000000,185000000,NA,7446000000,4735000000,682000000,8835000000,14704000000,5000000,7207000000,-2506000000,-1991000000,6151000000,-4529000000,8099000000,2581000000,3000000,1445000000,NA,13000000,"NDAQ"
"332","FICO",-11.7602572115185,1.46236789467174,0.21600673089478,50.542896,757.66,-62.6185227122686,1.22493348403682,"Fair Isaac Corproation","2023-05-08 16:03:01",18405167104,14.57,-23.900103,24993100,"USD","2022-09-30",133202000,NA,322410000,NA,NA,484715000,1135000,54268000,138832000,1442034000,17273000,30000000,120045000,1823669000,49661000,331459000,2243981000,252000,2958684000,-5060471000,-124702000,-801947000,-1565031000,761067000,2017000,11803000,1299588000,53000000,NA,"FICO"
"333","MPWR",11.9415297163531,5.3554252088079,3.61434907490206,43.335403,0,35.0558098331611,1.34193080165241,"Monolithic Power Systems, Inc.","2023-05-08 16:00:03",19847192576,9.66,11.818079,47411000,"USD","2022-12-31",288607000,449266000,191466000,447290000,22945000,1410619000,7111000,361445000,273139000,2058885000,61461000,NA,96778000,NA,125219000,263400000,390283000,975276000,716403000,-23077000,-23077000,1668602000,1662031000,6571000,NA,35252000,NA,NA,NA,"MPWR"
"334","BALL",-8.28362346325879,0.783247716894977,0.335062873885972,40.069443,58.2,-6.96555056779887,0.856792495498462,"Ball Corporation","2023-05-08 16:00:02",18149419008,1.44,5.2364097,314548000,"USD","2022-12-31",548000000,NA,2594000000,2179000000,168000000,5489000000,193000000,7487000000,1088000000,19909000000,4383000000,1001000000,890000000,7530000000,1485000000,7008000000,16382000000,1260000000,7309000000,-5108000000,-679000000,3461000000,-2191000000,4235000000,1417000000,73000000,NA,NA,66000000,"BALL"
"335","OMC",-2.70048129966449,0.970782844387755,0.639708972473209,13.85241,92.27,-34.0605955818622,0.920364064878622,"Omnicom Group Inc.","2023-05-08 16:00:01",18351390720,6.64,5.8882275,199515008,"USD","2022-12-31",4281800000,60700000,8097100000,1254600000,918800000,14613000000,66200000,2065100000,210500000,27002500000,11000200000,NA,3753400000,5577200000,1223400000,15052800000,22843200000,44600000,9739300000,-7102900000,-1437900000,3252100000,-6795600000,9734300000,313400000,NA,571100000,NA,907200000,"OMC"
