"","Symbol","Trade Time","Name","Ask","Market Capitalization","Earnings/Share","P/E Ratio","Price/Book","Shares Outstanding","Currency","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","deferredLongTermAssetCharges","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","accountsPayable","deferredLongTermLiab","shortLongTermDebt","shortTermInvestments","inventory","longTermDebt","(ticker)"
"2399","NRC",2022-03-04 16:00:02,"National Research Corporation",39.04,941668800,1.46,25.431507,11.027621,25361400,"USD","2021-09-30",52482000,16529000,72726000,NA,12506000,61614000,1851000,7489000,NA,156186000,23863000,8361000,NA,39170000,73058000,31000,-42701000,-47314000,173112000,-2377000,83128000,19663000,846000,961000,4237000,4223000,NA,NA,23360000,"NRC"
"2400","NRDS",2022-03-04 16:00:04,"NerdWallet, Inc.",9.62,633330752,-0.82,NA,2.2694032,34149200,"USD","2021-09-30",51500000,59800000,120300000,NA,41300000,4.4e+07,29700000,4200000,NA,239500000,50100000,22100000,NA,61600000,120500000,NA,-66600000,9e+05,118500000,9e+05,52800000,-20900000,NA,4100000,NA,NA,2e+06,NA,3e+07,"NRDS"
"2401","NRIM",2022-03-04 16:00:04,"Northrim BanCorp Inc",44.66,271328000,6,7.4133334,1.1249652,6100000,"USD","2021-09-30",489079000,20118000,640339000,410783000,48981000,15017000,15382000,1479444000,NA,2609946000,NA,28550000,NA,2303317000,2367472000,6177000,198284000,-916000,38929000,-916000,242474000,226455000,115724000,2296541000,NA,NA,NA,5912000,24915000,"NRIM"
"2402","NRIX",2022-03-04 16:00:02,"Nurix Therapeutics, Inc.",16.07,614249984,-2.732,NA,1.7914926,44737800,"USD","2021-11-30",80506000,7104000,311118000,137189000,25345000,NA,NA,3119000,NA,476771000,41946000,59022000,NA,66258000,134469000,45000,-220892000,-608000,563757000,-608000,342302000,342302000,NA,6650000,5e+05,NA,215214000,NA,NA,"NRIX"
"2403","NRSN",2022-03-04 16:00:02,"NeuroSense Therapeutics Ltd.",2,20792650,-0.935,NA,11.801242,10943500,"USD","2021-06-30",994000,16000,1010000,NA,15000,NA,NA,37000,NA,1062000,113000,NA,NA,125000,125000,NA,-7457000,NA,8394000,NA,937000,937000,NA,12000,NA,NA,NA,NA,NA,"NRSN"
"2404","NRXP",2022-03-04 16:00:02,"NRX Pharmaceuticals, Inc.",2.53,168586800,-20.22,NA,15.426828,66635100,"USD","2021-09-30",38883569,NA,45234458,NA,NA,NA,NA,15921,NA,45250379,27058501,NA,NA,36282975,36282975,54810,-152449666,NA,161362260,NA,8967404,8967404,NA,5559412,NA,515059,NA,NA,NA,"NRXP"
"2405","NSEC",2022-03-04 16:00:02,"National Security Group, Inc.",16.05,40648708,-1.271,NA,0.94495136,2532630,"USD","2021-09-30",9285000,16738000,38899000,103129000,1516000,NA,7621000,12094000,1250000,163259000,36314000,49970000,NA,57085000,120241000,2535000,32248000,2585000,5650000,2628000,43018000,43018000,12693000,20271000,NA,5e+05,NA,NA,13186000,"NSEC"
"2406","NSIT",2022-03-04 16:00:03,"Insight Enterprises, Inc.",104.78,3653663488,5.95,17.59664,2.420921,34896500,"USD","2021-09-30",107350000,2754153000,3322992000,NA,152070000,428637000,223496000,308183000,NA,4435378000,NA,313198000,NA,2145759000,2986456000,349000,1105557000,-21683000,364699000,-21683000,1448922000,796789000,192018000,1363325000,NA,NA,NA,269471000,527463000,"NSIT"
"2407","NSPR",2022-03-04 16:00:02,"InspireMD Inc.",2.62,21746000,-2.431,NA,0.55851626,8300000,"USD","2021-09-30",13059000,1112000,40091000,NA,1729000,NA,NA,786000,NA,42606000,83000,992000,NA,3720000,5543000,1000,-178997000,NA,216059000,NA,37063000,37063000,NA,556000,NA,NA,24012000,1135000,NA,"NSPR"
"2408","NSSC",2022-03-04 16:00:04,"NAPCO Security Technologies, In",20.19,740880384,0.495,40.747475,7.1575584,36731800,"USD","2021-09-30",37744000,25556000,97519000,NA,15385000,NA,4593000,7681000,NA,125178000,NA,1298000,NA,15701000,24084000,212000,102097000,-19521000,18306000,NA,101094000,96501000,911000,6217000,NA,NA,5435000,26916000,NA,"NSSC"
"2409","NSTG",2022-03-04 16:00:03,"NanoString Technologies, Inc.",35.9,1649418368,-2.544,NA,9.276486,45944800,"USD","2021-09-30",107167000,35470000,445967000,NA,40273000,NA,NA,7144000,NA,493384000,7752000,2847000,NA,44480000,294265000,5000,-620492000,-24000,819630000,-24000,199119000,199119000,NA,11932000,NA,NA,262687000,31095000,224785000,"NSTG"
"2410","NSYS",2022-03-04 16:00:02,"Nortech Systems Incorporated",11,28457438,-0.505,NA,1.3690705,2672060,"USD","2021-09-30",444000,27285000,51134000,NA,14855000,NA,524000,NA,NA,66513000,168000,106000,NA,32881000,45477000,27000,4850000,-17000,15926000,-17000,20786000,20262000,999000,14140000,NA,9207000,NA,20643000,3039000,"NSYS"
"2411","NTAP",2022-03-04 16:00:02,"NetApp, Inc.",80.5,17880766464,4.418,18.18696,20.316055,222536000,"USD","2021-10-29",4.509e+09,6.47e+08,5.669e+09,1.1e+08,8.12e+08,2.05e+09,8.7e+07,4.94e+08,2.49e+08,9.222e+09,1.994e+09,2.41e+09,NA,3.195e+09,8.463e+09,6.03e+08,1.94e+08,-3.8e+07,NA,-3.8e+07,7.59e+08,-1.378e+09,3.11e+08,4.32e+08,1.16e+08,NA,4.7e+07,1.55e+08,2.634e+09,"NTAP"
"2412","NTCT",2022-03-04 16:00:03,"NetScout Systems, Inc.",33.66,2337467392,0.739,42.841675,1.1415591,73830304,"USD","2021-09-30",468470000,162888000,701588000,NA,101723000,1717870000,474448000,20769000,8064000,3016398000,256098000,240463000,NA,370787000,1017394000,126000,371246000,-1364072000,2991704000,-1931000,1999004000,-193314000,16735000,17644000,7600000,NA,7347000,25728000,3.5e+08,"NTCT"
"2413","NTES",2022-03-04 16:00:04,"NetEase, Inc.",85.54,57645555712,3.968,21.547379,0.5885795,670980992,"USD","2021-09-30",22266781000,5422326000,108943566000,6.953e+09,4956832000,NA,4112765000,22822141000,1103624000,147788304000,17579811000,1582558000,12670136000,49008285000,51338103000,83780065000,NA,NA,NA,NA,83780065000,79667300000,11149245000,1098916000,NA,NA,69066607000,1038607000,NA,"NTES"
"2414","NTGR",2022-03-04 16:00:04,"NETGEAR, Inc.",26.15,768657920,1.59,16.465408,1.1002774,29360500,"USD","2021-10-03",283267000,266526000,9e+08,7916000,39886000,80721000,1992000,68570000,63479000,1099085000,75268000,24425000,NA,345171000,390229000,30000,-207863000,11000,916678000,11000,708856000,626143000,1016000,75113000,NA,NA,8928000,305129000,NA,"NTGR"
"2415","NTIC",2022-03-04 16:00:03,"Northern Technologies Internati",13.8,122866064,0.965,13.834198,1.8533945,9203450,"USD","2021-08-31",7680641,13645314,33747089,27623768,12197896,NA,709572,92554,92554,74370879,178923,NA,3382555,8516196,8620298,183696,46973092,-3525030,18736268,-3525030,62368026,61658454,NA,4290972,NA,NA,4634,11114207,NA,"NTIC"
