"","Symbol","Trade Time","Name","Ask","Market Capitalization","Earnings/Share","P/E Ratio","Price/Book","Shares Outstanding","Currency","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","deferredLongTermAssetCharges","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","accountsPayable","deferredLongTermLiab","shortLongTermDebt","shortTermInvestments","inventory","longTermDebt","(ticker)"
"1200","EXFY",2022-03-04 16:00:03,"Expensify, Inc.",25,1500726016,0.119,155.54622,-39.216103,67519696,"USD","2021-09-30",68058000,14528000,123227000,NA,18923000,NA,6607000,1130000,418000,149887000,26060000,1321000,NA,67292000,121898000,NA,-44019000,-513000,27416000,-513000,-17116000,-23723000,36828000,1998000,NA,547000,NA,NA,52093000,"EXFY"
"1201","EXLS",2022-03-04 16:00:03,"ExlService Holdings, Inc.",123.38,4092910080,3.35,36.794033,5.919985,33205500,"USD","2021-09-30",114581000,210563000,545175000,3141000,155557000,348699000,59479000,56019000,26747000,1168070000,38862000,15966000,NA,222926000,483085000,39000,727838000,-428809000,385917000,-92257000,684985000,276807000,40739000,2881000,1674000,1.5e+07,169739000,NA,1.7e+08,"EXLS"
"1202","EXPD",2022-03-04 16:00:03,"Expeditors International of Was",99.79,16640738304,8.27,12.033856,4.762178,167210000,"USD","2021-09-30",1820106000,3330398000,6111539000,NA,939805000,7927000,NA,17112000,NA,7076383000,1044992000,5651000,3234000,3275482000,3655791000,1694000,3463539000,-122800000,74925000,-122800000,3417358000,3409431000,961035000,1806977000,NA,NA,NA,NA,NA,"EXPD"
"1203","EXPE",2022-03-04 16:00:03,"Expedia Group, Inc.",176.21,27448526848,-1.8,NA,13.334595,150231008,"USD","2021-12-31",4.111e+09,1.349e+09,8.181e+09,1.45e+09,1.692e+09,7.171e+09,2.288e+09,7.66e+08,7.66e+08,2.1548e+10,6.558e+09,4.71e+08,1.495e+09,9.45e+09,1.7996e+10,NA,-1.761e+09,-1.0411e+10,1.4229e+10,-1.49e+08,2.057e+09,-7.402e+09,2.278e+09,1.333e+09,NA,7.35e+08,2e+08,NA,7.715e+09,"EXPE"
"1204","EXPI",2022-03-04 16:00:03,"eXp World Holdings, Inc.",25.74,3625402880,0.51,47.784317,16.32284,148764992,"USD","2021-09-30",98064000,129843000,306141000,NA,15825000,12945000,7693000,39029000,36020000,381633000,69406000,NA,1007000,189480000,192065000,1000,20800000,-179910000,347670000,187000,188561000,167923000,69406000,8555000,NA,906000,NA,NA,1736000,"EXPI"
"1205","EXPO",2022-03-04 16:00:02,"Exponent, Inc.",97.34,5074554368,1.9,51.24737,12.166687,52116200,"USD","2021-10-01",229785000,144039000,417560000,NA,75859000,8607000,NA,136279000,42561000,638305000,12192000,96189000,NA,126418000,233316000,66000,468578000,-342905000,279250000,-2052000,404989000,396382000,12231000,21443000,NA,NA,24998000,NA,NA,"EXPO"
"1206","EXTR",2022-03-04 16:00:02,"Extreme Networks, Inc.",10.94,1413590144,0.312,35.064102,20.296846,129213000,"USD","2021-09-30",191349000,129611000,424171000,NA,86698000,387808000,45898000,64229000,NA,1008804000,228420000,155296000,NA,455060000,936479000,136000,-965647000,-46835000,1084671000,-3722000,72325000,-361381000,NA,63394000,NA,27081000,NA,32439000,297379000,"EXTR"
"1207","EYE",2022-03-04 16:00:03,"National Vision Holdings, Inc.",38.55,3138274560,1.433,26.901606,3.389011,81407904,"USD","2021-10-02",439117000,54080000,646387000,NA,678161000,777613000,284440000,18870000,NA,2405471000,144260000,123287000,NA,348836000,1416914000,836000,272176000,-32877000,748422000,-2840000,988557000,-73496000,NA,76124000,NA,6621000,NA,124637000,593313000,"EYE"
"1208","EYEN",2022-03-04 16:00:03,"Eyenovia, Inc.",3.15,85505976,-0.782,NA,18.353659,28407300,"USD","2021-09-30",13500871,1257674,23459340,NA,1413201,NA,NA,119035,NA,24991576,10066162,26059,NA,20719379,20745438,2597,-93202584,NA,97446125,NA,4246138,4246138,7985102,1684733,NA,NA,NA,NA,NA,"EYEN"
"1209","EYES",2022-03-04 16:00:03,"Second Sight Medical Products, ",1.22,48473316,-0.311,NA,0.6964892,39409200,"USD","2021-09-30",72028000,NA,73221000,NA,387000,NA,NA,22000,NA,73630000,528000,NA,NA,3919000,4021000,347940000,-327302000,-4e+05,49371000,-4e+05,69609000,69609000,3e+05,758000,NA,NA,NA,NA,NA,"EYES"
"1210","EYPT",2022-03-04 16:00:02,"EyePoint Pharmaceuticals, Inc.",12.96,387809120,-2.25,NA,3.548387,33899400,"USD","2021-09-30",119710000,13602000,141775000,NA,2962000,NA,23364000,150000,NA,168251000,3713000,17085000,NA,19933000,75503000,29000,-549665000,841000,641543000,841000,92748000,69384000,NA,6639000,NA,NA,NA,4571000,36396000,"EYPT"
"1211","EZFL",2022-03-04 16:00:03,"EzFill Holdings, Inc.",1.1,27940804,-0.605,NA,1.1493019,26112900,"USD","2021-09-30",20650989,132481,20961216,NA,1147140,109983,3445606,NA,NA,25663945,7e+05,NA,NA,1447766,1521254,2592,-13685693,NA,37825792,NA,24142691,20587102,NA,344733,NA,92431,NA,35262,73488,"EZFL"
"1212","EZGO",2022-03-04 16:00:03,"EZGO Technologies Ltd.",0.9,11446596,-0.277,NA,0.4013378,13626900,"USD","2021-03-31",7074834,7861949,29520020,NA,2439760,NA,NA,455953,150693,32415733,2204557,NA,4484614,8855885,8855885,10839,1429651,-4482895,22117639,-4482895,19075234,19075234,6356508,527325,NA,304968,2289447,2849276,NA,"EZGO"
"1213","EZPW",2022-03-04 16:00:02,"EZCORP, Inc.",6.09,321643200,0.345,16.492754,0.48958874,53557600,"USD","2021-09-30",253667000,214560000,610861000,37724000,254411000,285758000,62494000,15663000,9746000,1266911000,32771000,14069000,NA,155088000,594673000,560000,326781000,-58415000,403312000,-58415000,672238000,323986000,26259000,22462000,NA,NA,NA,110989000,264186000,"EZPW"
"1214","FA",2022-03-04 16:00:02,"First Advantage Corporation",15.85,2423068928,0.205,77.31708,2.1745095,152875008,"USD","2021-09-30",275538000,149564000,443504000,NA,161330000,772669000,470907000,8283000,1442000,1856693000,11182000,87124000,NA,99299000,742474000,153000,-46826000,890000,1160002000,890000,1114219000,-129357000,2350000,46078000,NA,NA,958000,NA,556051000,"FA"
"1215","FAMI",2022-03-04 16:00:00,"Farmmi, Inc. Ordinary Shares",0.1664,98753248,0.02,8.26,0.57560974,557779968,"USD","2021-09-30",59251904,24473318,155305536,NA,856147,NA,40075,9485143,NA,165686901,1761671,NA,916506,4146426,4894483,557781,10100932,2128972,147088227,2128972,159875912,159835837,696586,56457,NA,NA,2793556,68090172,142264,"FAMI"
"1216","FANG",2022-03-04 16:00:03,"Diamondback Energy, Inc. - Comm",137.89,24447789056,12.3,11.203252,2.02403,177415008,"USD","2021-09-30",4.57e+08,8.11e+08,1.464e+09,5.09e+08,2.0406e+10,NA,NA,2.6e+08,2.5e+07,2.2639e+10,1.486e+09,1.272e+09,9.39e+08,1.996e+09,1.0217e+10,2e+06,-2.908e+09,NA,1.4389e+10,NA,1.1483e+10,1.1483e+10,1.15e+08,2.1e+07,NA,2e+07,NA,5.3e+07,6.949e+09,"FANG"
"1217","FANH",2022-03-04 16:00:02,"Fanhua Inc.",7.2,357606016,0.824,8.082524,0.19065613,53694600,"USD","2021-09-30",615534000,629782000,2159561000,386175000,247092000,NA,109869000,203102000,16128000,3105799000,287734000,200827000,114970000,809457000,1115150000,8088000,1909077000,-41486000,NA,-41486000,1875679000,1765810000,132052000,300076000,NA,NA,782193000,NA,NA,"FANH"
"1218","FARM",2022-03-04 16:00:03,"Farmer Brothers Company",7.85,108707344,-1.456,NA,1.0273262,18300900,"USD","2021-09-30",6014000,43377000,148340000,NA,175836000,NA,17649000,3911000,NA,345736000,6792000,46659000,NA,81820000,237703000,17999000,63740000,-41076000,67355000,-41076000,108018000,90369000,9063000,52816000,NA,3418000,NA,83862000,86248000,"FARM"
"1219","FARO",2022-03-04 16:00:03,"FARO Technologies, Inc.",53.85,975846912,-2.2,NA,2.98907,18206100,"USD","2021-12-31",121989000,78523000,273450000,NA,44737000,82096000,25616000,53841000,21277000,479740000,56535000,35752000,NA,98881000,153281000,20000,73544000,-48166000,301061000,-17374000,326459000,218747000,2300000,14199000,1200000,NA,NA,53145000,NA,"FARO"
"1220","FAST",2022-03-04 16:00:03,"Fastenal Company",54.1,31062648832,1.6,33.73125,10.208057,575553984,"USD","2021-09-30",250500000,949400000,2770300000,NA,1268900000,NA,NA,183300000,NA,4222500000,NA,104600000,NA,662500000,1257800000,2900000,2900800000,-29600000,90600000,-29600000,2964700000,2964700000,169300000,256900000,NA,3.5e+07,NA,1401100000,3.3e+08,"FAST"
"1221","FAT",2022-03-04 16:00:02,"FAT Brands Inc.",8.28,122102608,-1.274,NA,-2.1066208,15116800,"USD","2021-09-26",23565000,14479000,63482000,NA,22831000,185861000,322688000,24946000,15069000,619808000,6668000,80081000,79000,62218000,638627000,2000,-32875000,-23933000,NA,-23933000,-56806000,-565355000,25438000,12859000,NA,605000,NA,NA,485470000,"FAT"
"1222","FATBB",2022-03-04 16:00:00,"FAT Brands Inc.",9.72,124211584,-1.274,NA,-2.6397247,1270800,"USD","2021-09-26",23565000,14479000,63482000,NA,22831000,185861000,322688000,24946000,15069000,619808000,6668000,80081000,79000,62218000,638627000,2000,-32875000,-23933000,NA,-23933000,-56806000,-565355000,25438000,12859000,NA,605000,NA,NA,485470000,"FATBB"
"1223","FATBP",2022-03-04 16:00:03,"FAT Brands Inc. - 8.25% Series ",13.25,NA,-1.274,NA,-3.6830037,NA,"USD","2021-09-26",23565000,14479000,63482000,NA,22831000,185861000,322688000,24946000,15069000,619808000,6668000,80081000,79000,62218000,638627000,2000,-32875000,-23933000,NA,-23933000,-56806000,-565355000,25438000,12859000,NA,605000,NA,NA,485470000,"FATBP"
"1224","FATE",2022-03-04 16:00:03,"Fate Therapeutics, Inc.",36.8,3131007488,-2.239,NA,4.579044,96427696,"USD","2021-12-31",133583000,9776000,633412000,100664000,162249000,NA,NA,25130000,NA,921455000,24683000,52092000,NA,81284000,242617000,96000,-769083000,-762000,1448584000,-762000,678835000,678835000,NA,8612000,9870000,NA,482327000,NA,NA,"FATE"
"1225","FB",2022-03-04 16:00:03,"Meta Platforms, Inc.",200,544551305216,13.77,14.528685,4.516129,2309080064,"USD","2021-12-31",1.6601e+10,1.4039e+10,6.6666e+10,6.775e+09,6.9964e+10,1.9197e+10,6.34e+08,2.751e+09,NA,1.65987e+11,1.2698e+10,6.721e+09,NA,2.1135e+10,4.1108e+10,NA,6.9761e+10,-6.93e+08,5.5811e+10,-6.93e+08,1.24879e+11,1.05048e+11,1.49e+08,4.083e+09,NA,NA,3.1397e+10,NA,NA,"FB"
"1226","FBIO",2022-03-04 16:00:04,"Fortress Biotech, Inc.",1.37,136492272,-0.476,NA,1.4589989,99629400,"USD","2021-09-30",252721000,32685000,301187000,56860000,33390000,NA,13043000,3353000,NA,407833000,7006000,6444000,119810000,103213000,195365000,99000,-515898000,365000,608089000,365000,92655000,79612000,NA,42781000,NA,14883000,NA,11614000,64186000,"FBIO"
"1227","FBIOP",2022-03-04 16:00:02,"Fortress Biotech, Inc. - 9.375%",24.87,113423088,-0.476,NA,22.50266,56679500,"USD","2021-09-30",252721000,32685000,301187000,56860000,33390000,NA,13043000,3353000,NA,407833000,7006000,6444000,119810000,103213000,195365000,99000,-515898000,365000,608089000,365000,92655000,79612000,NA,42781000,NA,14883000,NA,11614000,64186000,"FBIOP"
"1228","FBIZ",2022-03-04 16:00:04,"First Business Financial Servic",32.69,275693312,4.17,7.817745,1.186274,8456850,"USD","2021-12-31",57110000,NA,126577000,238784000,6604000,NA,12268000,2268672000,NA,2652905000,NA,NA,NA,2001550000,2420483000,232422000,NA,NA,NA,NA,232422000,220154000,42960000,1957923000,NA,NA,NA,164000,413527000,"FBIZ"
"1229","FBMS",2022-03-04 16:00:02,"The First Bancshares, Inc.",33.69,709811648,3.03,11.145215,1.0497359,21019000,"USD","2021-12-31",919713000,NA,929956000,1774058000,132448000,NA,186171000,3054781000,NA,6077414000,NA,29732000,NA,5226784000,5401242000,676172000,NA,NA,NA,NA,676172000,490001000,7678000,5226784000,NA,NA,NA,2565000,144726000,"FBMS"
"1230","FBNC",2022-03-04 16:00:03,"First Bancorp",56.98,1532937088,3.185,13.500785,1.2450056,35649700,"USD","2021-09-30",394193000,NA,433698000,2676938000,141291000,231906000,10173000,4995360000,NA,8489366000,NA,48155000,NA,7433795000,7559616000,398058000,529474000,2218000,NA,2218000,929750000,693566000,37686000,7432765000,NA,NA,NA,1819000,60764000,"FBNC"
"1231","FBRX",2022-03-04 16:00:03,"Forte Biosciences, Inc.",1.23,17853066,-1.716,NA,0.4090602,14754600,"USD","2021-09-30",45665000,NA,46556000,NA,NA,NA,NA,834000,NA,47390000,NA,NA,NA,3740000,3740000,15000,-69824000,NA,113459000,NA,43650000,43650000,144000,2330000,NA,NA,NA,NA,NA,"FBRX"
"1232","FCAP",2022-03-04 16:00:00,"First Capital, Inc.",39.9,134414976,3.41,11.683284,1.1723855,3373870,"USD","2021-09-30",164300000,NA,176496000,427435000,15368000,6472000,562000,496424000,NA,1122757000,NA,396000,108000,1007899000,1008295000,38000,78128000,-5496000,41684000,3138000,114354000,107320000,7291000,1002294000,NA,NA,4841000,64000,NA,"FCAP"
"1233","FCBC",2022-03-04 16:00:03,"First Community Bankshares, Inc",30.11,488961440,2.94,9.853741,1.1430262,16878200,"USD","2021-12-31",677439000,NA,686354000,76292000,52284000,129565000,5622000,2244402000,NA,3194519000,NA,NA,NA,2766744000,2766744000,16878000,264824000,-1546000,147619000,-1546000,427775000,292588000,7900000,2729391000,NA,NA,NA,1015000,NA,"FCBC"
"1234","FCCO",2022-03-04 16:00:02,"First Community Corporation",21,157464640,2.05,10.175611,1.1167622,7548640,"USD","2021-09-30",79694000,NA,87663000,515260000,35847000,14637000,959000,905960000,NA,1560326000,NA,8768000,NA,1394531000,1421213000,7544000,35306000,4207000,92056000,4207000,139113000,123517000,6804000,1333568000,NA,NA,NA,1165000,14964000,"FCCO"
"1235","FCEL",2022-03-04 16:00:04,"FuelCell Energy, Inc.",5.5,1994777344,-0.311,NA,3.105023,366687008,"USD","2021-10-31",432213000,23654000,543386000,NA,47525000,4075000,18670000,261592000,NA,875248000,6359000,30427000,3030000,52770000,169923000,37000,-1265251000,-819000,1908471000,-233000,642438000,619693000,11268000,19267000,NA,10085000,NA,71079000,78533000,"FCEL"
"1236","FCFS",2022-03-04 16:00:02,"FirstCash Holdings, Inc.",67.34,3262757632,3.04,22.134869,1.8041666,48488000,"USD","2021-12-31",120046000,595489000,1135078000,NA,768587000,1528233000,388184000,14145000,5614000,3834227000,60697000,139244000,NA,390786000,2026100000,573000,866679000,-784081000,1724956000,-131299000,1808127000,-108290000,143944000,239519000,NA,NA,NA,263311000,1292904000,"FCFS"
"1237","FCNCA",2022-03-04 16:00:03,"First Citizens BancShares, Inc.",712.09,11309513728,53.881,13.189435,1.586454,14973000,"USD","2021-12-31",337814000,NA,610120000,22225068000,1233418000,346064000,43085000,33850385000,NA,58308140000,NA,381326000,NA,51995195000,53570899000,9816000,4377712000,9776000,NA,9776000,4397304000,4008155000,232978000,51406094000,NA,NA,NA,39328000,1194378000,"FCNCA"
"1238","FCNCO",2022-03-04 16:00:03,"First Citizens BancShares, Inc.",25.52,NA,53.881,0.46992445,0.056523535,NA,"USD","2021-12-31",337814000,NA,610120000,22225068000,1233418000,346064000,43085000,33850385000,NA,58308140000,NA,381326000,NA,51995195000,53570899000,9816000,4377712000,9776000,NA,9776000,4397304000,4008155000,232978000,51406094000,NA,NA,NA,39328000,1194378000,"FCNCO"
"1239","FCNCP",2022-03-04 16:00:03,"First Citizens BancShares, Inc.",28.29,NA,53.881,0.47066686,0.056612834,NA,"USD","2021-12-31",337814000,NA,610120000,22225068000,1233418000,346064000,43085000,33850385000,NA,58308140000,NA,381326000,NA,51995195000,53570899000,9816000,4377712000,9776000,NA,9776000,4397304000,4008155000,232978000,51406094000,NA,NA,NA,39328000,1194378000,"FCNCP"
"1240","FCRD",2022-03-04 16:00:03,"First Eagle Alternative Capital",4.5,134890112,0.588,7.6190476,0.70651317,30109400,"USD","2021-09-30",9612000,3970000,15729000,NA,NA,NA,NA,405922000,2211000,421651000,2023000,1807000,NA,5804000,225821000,30000,-222579000,NA,418379000,NA,195830000,195830000,1605000,NA,1698000,NA,NA,NA,218210000,"FCRD"
"1241","FCUV",2022-03-04 16:00:03,"Focus Universal Inc.",10.88,431299232,-0.071,NA,31.451105,43259700,"USD","2021-09-30",9535166,303265,10010770,NA,4427952,NA,NA,662,NA,14439384,23902,NA,NA,629512,718170,43259,-12216529,1910753,23983731,1910753,13721214,13721214,5968,371344,NA,178639,NA,19838,88658,"FCUV"
"1242","FDBC",2022-03-04 16:00:02,"Fidelity D & D Bancorp, Inc.",48.48,268283184,4.48,10.607142,1.2662883,5645690,"USD","2021-09-30",167386000,NA,225005000,686926000,38748000,19628000,2050000,1439442000,NA,2411799000,NA,15780000,NA,2163844000,2206230000,113862000,91533000,174000,NA,174000,205569000,183891000,54337000,2163450000,NA,NA,NA,3282000,16885000,"FDBC"
"1243","FDMT",2022-03-04 16:00:03,"4D Molecular Therapeutics, Inc.",24,422946592,-2.948,NA,1.5949581,32138800,"USD","2021-09-30",90989000,791000,165733000,65494000,8789000,NA,NA,602000,NA,240618000,1728000,5111000,NA,11373000,16484000,3000,-181913000,-195000,406239000,-195000,224134000,224134000,NA,3713000,NA,NA,70686000,NA,NA,"FDMT"
"1244","FDUS",2022-03-04 16:00:03,"Fidus Investment Corporation",19.99,487281760,3.903,5.1088905,1.0887846,24437400,"USD","2021-09-30",98812000,8246000,108642000,719124000,NA,NA,NA,NA,NA,827766000,-883000,NA,NA,27896000,380221000,24000,83770000,NA,363751000,NA,447545000,447545000,NA,711000,NA,NA,NA,NA,352325000,"FDUS"
"1245","FEIM",2022-03-04 16:00:02,"Frequency Electronics, Inc.",10.75,83473960,-0.06,NA,1.5276365,9264590,"USD","2021-10-31",10623000,8743000,50477000,8e+05,18490000,617000,NA,10994000,NA,81378000,3551000,9134000,NA,10010000,26749000,9264000,-12535000,207000,57693000,213000,54629000,54012000,453000,970000,NA,NA,9955000,19477000,NA,"FEIM"
"1246","FELE",2022-03-04 16:00:03,"Franklin Electric Co., Inc.",83.24,3857931264,3.25,25.538462,4.0762205,46481100,"USD","2021-12-31",40536000,196173000,724647000,NA,259033000,591485000,NA,NA,NA,1575165000,NA,107036000,-19000,396014000,626522000,948662000,NA,NA,NA,NA,948662000,357177000,37963000,164758000,NA,97981000,NA,449975000,90535000,"FELE"
"1247","FEMY",2022-03-04 16:00:03,"Femasys Inc.",2.34,26431328,-1.712,NA,0.92257005,11799700,"USD","2021-09-30",27280309,143459,28333557,NA,2368988,NA,33046,428933,NA,31164524,51842,188855,NA,1820365,2511132,11916,-80375482,642492,108374466,702492,28653392,28620346,759453,436890,NA,320866,NA,150336,NA,"FEMY"
"1248","FENC",2022-03-04 16:00:03,"Fennec Pharmaceuticals Inc.",5.14,133325616,-0.67,NA,8.382838,26013500,"USD","2021-09-30",24335000,NA,25979000,NA,NA,NA,NA,35000,NA,26014000,NA,NA,NA,2014000,7001000,140780000,-175059000,1243000,52049000,1243000,19013000,19013000,412000,1154000,35000,NA,NA,NA,4987000,"FENC"
"1249","FFBC",2022-03-04 16:00:02,"First Financial Bancorp.",23.69,2229453056,2.14,11.06542,0.9869545,94149200,"USD","2021-09-30",209748000,NA,351637000,4443500000,248080000,937771000,56811000,9918794000,NA,15956593000,NA,470202000,NA,12872989000,13720423000,1637065000,812082000,-212977000,NA,14230000,2236170000,1241588000,79818000,12677381000,NA,NA,29799000,340000,311429000,"FFBC"
"1250","FFBW",2022-03-04 16:00:03,"FFBW, Inc.",12,82511040,0.31,38.70968,0.79612553,6875920,"USD","2021-09-30",80102000,NA,82222000,49887000,5481000,NA,NA,217689000,NA,355279000,NA,2230000,NA,250723000,259453000,69000,39963000,-4556000,60350000,-4556000,95826000,95826000,843000,250511000,NA,NA,1277000,NA,6500000,"FFBW"
"1251","FFHL",2022-03-04 16:00:03,"Fuwei Films (Holdings) Co., Ltd",7.12,23024172,2.122,3.3223376,0.08253047,3265840,"USD","2021-06-30",176069000,44418000,257255000,NA,105928000,NA,NA,15249000,297000,378432000,10872000,1821000,NA,97635000,99456000,13323000,-47094000,840000,311907000,840000,278976000,278976000,12291000,21763000,NA,NA,NA,24477000,NA,"FFHL"
"1252","FFIC",2022-03-04 16:00:04,"Flushing Financial Corporation",23.95,730487168,2.59,9.239383,1.1109048,30526000,"USD","2021-09-30",178598000,NA,226903000,885182000,74173000,17636000,2708000,6870732000,NA,8077334000,NA,147487000,NA,6456582000,7409238000,341000,486418000,-80672000,262009000,-8934000,668096000,647752000,40912000,6421391000,NA,NA,NA,NA,752925000,"FFIC"
"1253","FFIE",2022-03-04 16:00:03,"Faraday Future Intelligent Elec",4.78,1543958400,-1.621,NA,-0.48349416,29516500,"USD","2021-06-30",52527000,NA,69906000,NA,287718000,NA,NA,11749000,NA,369373000,140330000,7880000,NA,840040000,922132000,1000,-2519439000,-6650000,416504000,-6650000,-2109584000,-2109584000,17379000,67486000,7865000,297454000,NA,NA,36172000,"FFIE"
"1254","FFIN",2022-03-04 16:00:03,"First Financial Bankshares, Inc",46.21,6585545216,1.59,29.044025,3.7169995,142606000,"USD","2021-09-30",561142000,NA,611420000,6119984000,147516000,NA,317170000,5347168000,NA,12543258000,195688000,72039000,NA,10737484000,10809523000,1425000,947724000,109447000,675139000,119323000,1733735000,1416565000,47721000,9893117000,NA,NA,NA,28000,NA,"FFIN"
"1255","FFIV",2022-03-04 16:00:03,"F5, Inc.",202.42,12255754240,5.439,37.098732,5.0928826,60738200,"USD","2021-09-30",580977000,555932000,1611100000,132778000,436098000,2216553000,237178000,363573000,128193000,4997280000,1012744000,598823000,NA,1391527000,2637067000,192458000,2187828000,-20073000,NA,-20073000,2360213000,-93518000,62870000,62096000,43571000,19275000,329630000,22055000,349772000,"FFIV"
"1256","FFNW",2022-03-04 16:00:02,"First Financial Northwest, Inc.",17.07,154042816,0.29,58.206894,0.9761175,9125760,"USD","2021-09-30",79112000,NA,87768000,186951000,26466000,889000,719000,1137409000,746000,1440202000,NA,12810000,NA,1262777000,1278746000,95000,84402000,-1352000,78311000,-1352000,161456000,159848000,5681000,1141736000,NA,1.2e+08,NA,NA,NA,"FFNW"
"1257","FFWM",2022-03-04 16:00:03,"First Foundation Inc.",25.37,1430040064,2.41,10.514523,1.3439406,56434100,"USD","2021-09-30",783376000,NA,1284809000,738698000,8091000,NA,94083000,5609382000,11247000,7735063000,NA,NA,NA,6955732000,6968232000,45000,321184000,8767000,436835000,8767000,766831000,672748000,501433000,6955732000,NA,NA,NA,NA,12500000,"FFWM"
"1258","FGBI",2022-03-04 16:00:02,"First Guaranty Bancshares, Inc.",22.5,238448800,2.418,9.201819,1.2495086,10716800,"USD","2021-12-31",261932000,NA,276051000,365515000,58637000,12900000,5922000,2159095000,NA,2878120000,NA,3624000,NA,2600972000,2654231000,10717000,56654000,-6633000,130093000,-6633000,190831000,172009000,12047000,2596492000,NA,NA,NA,2072000,49635000,"FGBI"
"1259","FGBIP",2022-03-04 16:00:01,"First Guaranty Bancshares, Inc.",26.79,NA,2.418,10.806452,1.4674004,NA,"USD","2021-12-31",261932000,NA,276051000,365515000,58637000,12900000,5922000,2159095000,NA,2878120000,NA,3624000,NA,2600972000,2654231000,10717000,56654000,-6633000,130093000,-6633000,190831000,172009000,12047000,2596492000,NA,NA,NA,2072000,49635000,"FGBIP"
"1260","FGEN",2022-03-04 16:00:03,"FibroGen, Inc",14.75,1207165952,-3.141,NA,5.7637653,93002000,"USD","2021-09-30",274527000,43994000,573399000,146057000,123878000,NA,NA,7179000,NA,850513000,47101000,186737000,19271000,209316000,505450000,927000,-1129956000,-4158000,1458979000,-4158000,325792000,325792000,7090000,23868000,NA,NA,211875000,29315000,17914000,"FGEN"
"1261","FGF",2022-03-04 16:00:02,"FG Financial Group, Inc.",3.08,19219902,-1.75,NA,1.4919355,6493210,"USD","2021-09-30",8929000,NA,12293000,26951000,NA,NA,1017000,3589000,NA,43850000,3599000,1770000,5382000,4312000,6082000,5000,-30593000,NA,40609000,NA,10021000,10021000,3364000,713000,NA,NA,NA,NA,NA,"FGF"
"1262","FGFPP",2022-03-04 16:00:01,"FG Financial Group, Inc.  - 8.0",23,NA,-1.75,NA,11.275102,NA,"USD","2021-09-30",8929000,NA,12293000,26951000,NA,NA,1017000,3589000,NA,43850000,3599000,1770000,5382000,4312000,6082000,5000,-30593000,NA,40609000,NA,10021000,10021000,3364000,713000,NA,NA,NA,NA,NA,"FGFPP"
"1263","FHB",2022-03-04 16:00:02,"First Hawaiian, Inc.",27.8,3560201472,2.05,13.55122,1.3331414,128157000,"USD","2021-12-31",246716000,NA,1322340000,8428032000,318448000,995492000,8302000,13919796000,NA,24992410000,NA,519352000,NA,21816146000,22335498000,1406000,604534000,-476691000,2527663000,-121693000,2656912000,1661420000,63696000,21816146000,NA,NA,1011753000,175000,NA,"FHB"
"1264","FHLT",2022-03-04 11:49:33,"Future Health ESG Corp.",13.09,NA,NA,NA,-33.435375,NA,"USD","2021-09-30",1548235,NA,1661422,NA,NA,NA,NA,201102168,NA,202763590,NA,2.1e+08,NA,108766,210108766,575,-7345751,NA,NA,NA,-7345176,-7345176,NA,58766,NA,NA,NA,NA,NA,"FHLT"
"1265","FHTX",2022-03-04 16:00:03,"Foghorn Therapeutics Inc.",16.99,371972704,-2.687,NA,4.117109,41330300,"USD","2021-09-30",57841000,NA,123953000,NA,57952000,NA,NA,4164000,NA,186069000,1287000,12857000,NA,19296000,105087000,4000,-235113000,-13000,316104000,-13000,80982000,80982000,NA,3821000,NA,NA,63001000,NA,19914000,"FHTX"
"1266","FIAC",2022-03-03 16:00:00,"Focus Impact Acquisition Corp.",9.93,284624992,NA,NA,1980,2.3e+07,"USD","2021-09-30",NA,NA,NA,NA,NA,NA,NA,517402,NA,517402,418373,NA,NA,493364,493364,575,-962,NA,24425,NA,24038,24038,NA,NA,517402,NA,NA,NA,NA,"FIAC"
"1267","FIBK",2022-03-04 16:00:03,"First Interstate BancSystem, In",38.5,4176338432,3.11,12.385853,1.2060491,88607200,"USD","2021-09-30",2233500000,NA,2365300000,6021700000,297300000,621600000,70700000,9995600000,NA,19372200000,59800000,20600000,NA,17167400000,17387400000,943600000,1026900000,14300000,NA,14300000,1984800000,1319500000,95400000,16072400000,NA,NA,NA,2300000,199400000,"FIBK"
"1268","FICV",2022-03-04 16:00:02,"Frontier Investment Corp",9.67,433800000,NA,NA,-17.46377,2e+07,"USD","2021-09-30",1280016,NA,1480116,NA,NA,NA,NA,200143531,NA,201623647,33726,215378541,NA,36816,215415357,500,-13792210,NA,NA,NA,-13791710,-13791710,NA,3090,NA,NA,NA,NA,NA,"FICV"
"1269","FINM",2022-03-04 15:27:34,"Marlin Technology Corporation",9.8,506114976,NA,NA,-16.032785,41400000,"USD","2021-09-30",108676,NA,703255,NA,NA,NA,NA,414130861,NA,414834116,NA,445012666,NA,1363127,446375793,1035,-31542712,NA,NA,NA,-31541677,-31541677,NA,1273127,NA,NA,NA,NA,NA,"FINM"
