"","Symbol","Trade Time","Name","Ask","Market Capitalization","Earnings/Share","P/E Ratio","Price/Book","Shares Outstanding","Currency","date","cash","shortTermInvestments","netReceivables","inventory","otherCurrentAssets","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","otherAssets","totalAssets","accountsPayable","shortLongTermDebt","otherCurrentLiab","longTermDebt","otherLiab","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","goodWill","intangibleAssets","deferredLongTermAssetCharges","capitalSurplus","minorityInterest","deferredLongTermLiab","(ticker)"
"128","FIS",2022-08-19 16:03:20,"Fidelity National Information S",100.08,60858699776,1.37,73.06569,1.3086678,607979008,"USD","2022-06-30",1.688e+09,2.56e+08,3.771e+09,NA,4.334e+09,1.0706e+10,4.6e+08,8.81e+08,2.375e+09,7.962e+10,2.669e+09,3.148e+09,6.069e+09,1.1755e+10,5.647e+09,1.5528e+10,3.293e+10,6e+06,2.709e+09,-2.843e+09,-2e+08,4.6506e+10,-1.8692e+10,5.2004e+10,1.3194e+10,NA,4.6634e+10,1.84e+08,9.59e+08,"FIS"
"129","BSX",2022-08-19 16:00:01,"Boston Scientific Corporation",42.48,60156252160,0.58,72.44828,3.4830902,1431609984,"USD","2022-06-30",2.76e+08,NA,1.917e+09,1.752e+09,1.138e+09,5.083e+09,3.84e+08,2.646e+09,4.756e+09,3.2189e+10,7.32e+08,1.7e+08,1.276e+09,8.797e+09,1.896e+09,3.883e+09,1.4938e+10,1.7e+07,-1.05e+09,-1.819e+09,4.32e+08,1.7251e+10,-2.069e+09,1.2883e+10,6.437e+09,4.059e+09,2.0103e+10,NA,NA,"BSX"
"130","ETN",2022-08-19 16:00:02,"Eaton Corporation, PLC",151.44,60185157632,5.76,26.187498,3.667842,3.99e+08,"USD","2022-06-30",3.64e+08,2.59e+08,4.046e+09,3.445e+09,4.9e+07,8.687e+09,1.27e+08,3.535e+09,2.31e+09,3.5153e+10,3.013e+09,2.03e+09,2.176e+09,6.28e+09,3.097e+09,8.974e+09,1.8737e+10,4e+06,7.886e+09,-3.962e+09,-3.962e+09,1.638e+10,-4.114e+09,1.4805e+10,5.689e+09,4.03e+08,1.2452e+10,3.6e+07,NA,"ETN"
"131","SHW",2022-08-19 16:00:01,"Sherwin-Williams Company (The)",244.85,63390982144,6.66,36.723724,28.37684,259183008,"USD","2022-06-30",312600000,NA,3047600000,2411600000,487700000,6259500000,528100000,3804300000,399700000,22052800000,2992900000,6e+05,532600000,8593600000,2553300000,7198200000,19828200000,9.1e+07,2763300000,-629700000,2965700000,2224600000,-8836600000,7106100000,3955100000,NA,NA,NA,NA,"SHW"
"132","APD",2022-08-19 16:00:01,"Air Products and Chemicals, Inc",267.65,58488401920,10.03,26.291128,4.2867594,221799008,"USD","2022-06-30",2957400000,357600000,2100900000,5.14e+08,237200000,6367300000,3369100000,14131700000,2377300000,2.7489e+10,NA,555100000,2644500000,6905300000,2961100000,3406900000,13273300000,249400000,16297900000,-4034200000,-2050600000,13643900000,12400300000,866800000,376800000,NA,1130800000,571800000,NA,"APD"
"133","DG",2022-08-19 16:03:19,"Dollar General Corporation",253.85,57625456640,9.76,26.010246,9.66607,226996992,"USD","2022-04-29",335613000,NA,33576000,6087399000,NA,6736870000,NA,14634180000,46949000,26956308000,3906852000,900635000,9051000,3947462000,1136207000,6951841000,20994684000,198623000,2157589000,-1002000,-1002000,5961624000,423315000,4338589000,1199720000,NA,3606414000,NA,NA,"DG"
"134","OXY",2022-08-19 16:00:04,"Occidental Petroleum Corporatio",71.12,66406064128,10.17,7.009833,3.6652956,931491968,"USD","2022-06-30",1.362e+09,NA,6.35e+09,1.564e+09,1.132e+09,1.0408e+10,3.328e+09,5.9294e+10,1.191e+09,7.4221e+10,5.197e+09,5.56e+08,3.1e+07,2.1474e+10,1.4055e+10,9.73e+09,4.6391e+10,2.18e+08,1.2462e+10,-1.1526e+10,-1.35e+08,1.8068e+10,1.8068e+10,NA,NA,NA,1.6914e+10,NA,NA,"OXY"
"135","KLAC",2022-08-19 16:00:05,"KLA Corporation",371,52724146176,21.92,16.962135,37.624973,141804000,"USD","2022-06-30",1584908000,1123100000,1926624000,2146889000,278448000,7168911000,NA,976373000,937341000,12597088000,443338000,NA,1524788000,6660718000,1584828000,2871083000,11197998000,142000,366882000,-27471000,-27471000,1401351000,-2113112000,2320049000,1194414000,579173000,1061798000,-2261000,NA,"KLAC"
"136","SNPS",2022-08-19 16:00:04,"Synopsys, Inc.",363,55528108032,6.24,58.17308,9.910722,152970000,"USD","2022-07-31",1383559000,147599000,682647000,219736000,NA,2899028000,NA,1061373000,1109605000,9329547000,736099000,NA,1755594000,21960000,517152000,2545863000,3677905000,1530000,5377586000,-1190334000,-155493000,5604026000,1344485000,3854889000,404652000,617429000,1415244000,47616000,NA,"SNPS"
"137","GM",2022-08-19 16:00:02,"General Motors Company",39.7,57884585984,5.44,7.2977943,0.931138,1458050048,"USD","2022-06-30",1.141e+10,1.0124e+10,1.2417e+10,1.6859e+10,4.196e+09,9.1094e+10,7.973e+09,4.1943e+10,3.0237e+10,2.53517e+11,2.589e+10,NA,-1e+06,1.7538e+10,2.5944e+10,7.9398e+10,1.85142e+11,1.5e+07,4.5554e+10,-8.876e+09,-8.876e+09,6.3954e+10,5.8941e+10,NA,3.672e+09,2.1038e+10,2.7261e+10,4.421e+09,NA,"GM"
