"","Symbol","Price/Book Ratio","CurrentRatio","P.E.Ratio","Ask","BookPrice","Name","Market.Capitalization","Earnings.Share","Shares.Outstanding","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","deferredLongTermAssetCharges","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","accountsPayable","deferredLongTermLiab","shortLongTermDebt","shortTermInvestments","inventory","longTermDebt","X.ticker."
"1004","DNUT",-3.33214874157653,0.332190781796966,NA,17.12,-5.11681818981922,"Krispy Kreme, Inc.",2851629568,-0.391,167251008,"2021-10-03",44895000,60069000,163980000,NA,838159000,1089914000,993440000,17165000,NA,3102658000,124870000,196398000,92159000,493632000,1782938000,1671000,-173911000,-10923000,1410724000,-10923000,1227561000,-855793000,2207000,170780000,NA,45046000,614000,36141000,673362000,"DNUT"
"1005","DOCU",-123.527147612381,0.957331475673355,NA,137.16,-1.1046559672789,"DocuSign, Inc.",27001305088,-0.576,197876992,"2021-10-31",503884000,320289000,1206589000,89455000,310440000,355353000,102802000,345864000,NA,2410503000,940111000,55506000,NA,1260367000,2170934000,20000,-1407744000,-3421000,1650714000,-1889000,239569000,-218586000,3e+05,47712000,300073000,11510000,314574000,NA,718821000,"DOCU"
"1006","DOGZ",1.38589606479743,0.670957869867068,54.168,2.72,2.73385156088485,"Dogness (International) Corpora",86134976,0.05,22733900,"2021-06-30",4912442,2915047,14266131,1703900,75046434,NA,2223285,605658,605658,93845408,15165995,NA,528012,21262335,28943003,59249,4920151,-960285,60355278,-960285,64374393,62151108,1685584,1197350,NA,796416,549895,4203163,6557608,"DOGZ"
"1007","DOMO",-12.2213207396142,0.75750685305578,NA,46.97,-4.25706643040908,"Domo, Inc.",1526809600,-2.82,29346500,"2021-10-31",84245000,38895000,144249000,NA,34736000,9478000,2895000,19775000,NA,211133000,130385000,12847000,NA,190426000,323690000,32000,-1191229000,647000,1077993000,647000,-112557000,-124930000,13795000,12021000,18474000,NA,NA,NA,102852000,"DOMO"
"1008","DOOO",-9.54082754190731,1.11709330365424,10.680884,83.31,-18.1794435794477,"BRP Inc.",6773033472,7.784,39049600,"2021-10-31",34300000,496400000,2408900000,NA,1407200000,NA,480300000,276200000,203800000,4572600000,617500000,466400000,2800000,2156400000,4799400000,262500000,-555700000,23400000,40200000,23400000,-229600000,-709900000,132900000,1419900000,NA,24500000,NA,1745300000,1977300000,"DOOO"
"1009","DORM",6.3966434016842,1.62684661827992,25.42038,106.49,16.4961516326311,"Dorman Products, Inc.",3336943360,4.151,31623800,"2021-09-25",57263000,463113000,1013135000,NA,174007000,200026000,182827000,45853000,NA,1615848000,NA,36034000,NA,622760000,711324000,317000,830882000,NA,73325000,NA,904524000,521671000,NA,149925000,NA,NA,NA,475462000,NA,"DORM"
"1010","DOX",17.4023456322071,1.58566952867053,14.304226,76.13,4.3769960360129,"Amdocs Limited",9492457472,5.325,124622000,"2021-09-30",709064000,920744000,2067499000,NA,766401000,2622644000,424561000,630669000,NA,6511774000,642772000,750266000,42509000,1303865000,2876590000,4516000,5850937000,-6213979000,3951201000,9338000,3592675000,545470000,11192000,121199000,NA,NA,256527000,NA,644553000,"DOX"
"1011","DOYU",0.127441840366227,3.56671512225821,NA,2.61,20.0875938516122,"DouYu International Holdings Li",830489536,-0.255,324409984,"2021-09-30",4784212000,198039000,6676238000,1574477000,112318000,12854000,107111000,26792000,NA,8509790000,590713000,21414000,-58548000,1871817000,1931757000,23000,-3193661000,-755057000,10585276000,-32172000,6636581000,6516616000,483987000,866235000,NA,NA,1.21e+09,NA,NA,"DOYU"
"1012","DPCS",21183.9857386912,0.0531209076632995,NA,9.93,0.000585347826086956,"DP Cap Acquisition Corp I",285200000,NA,2.3e+07,"2021-09-30",19552,NA,19552,NA,NA,NA,NA,361977,NA,381529,294041,NA,NA,368066,368066,575,-11537,NA,24425,NA,13463,13463,NA,NA,361977,NA,NA,NA,NA,"DPCS"
"1013","DPRO",2.34672051672246,2.09693500907414,NA,1.58,0.656234941070374,"Draganfly Inc.",49521780,-1.135,32157000,"2021-09-30",27965517,2846778,39207738,301428,544549,17675063,2512065,NA,NA,60240843,17184523,1342,NA,18697641,18951168,98524688,-65109113,7874100,NA,7874100,41289675,21102547,NA,933610,NA,6745,584381,3253950,87004,"DPRO"
"1014","DRAY",-19.7469138368806,NA,NA,14.33,-0.621616104347826,"Macondray Capital Acquisition C",352906240,NA,28750000,"2021-09-30",831617,NA,1189217,NA,NA,NA,NA,290637486,NA,291826703,NA,309698166,NA,NA,309698166,719,-17872182,NA,NA,NA,-17871463,-17871463,NA,NA,NA,NA,NA,NA,NA,"DRAY"
"1015","DRIO",3.69924259410888,4.67053071524328,NA,10.7,2.87356113805835,"DarioHealth Corp.",176198624,-4.633,16575600,"2021-09-30",51331000,3587000,59227000,NA,1074000,39399000,17409000,77000,NA,117186000,1213000,NA,NA,12681000,12747000,NA,-199943000,NA,304382000,NA,104439000,47631000,251000,3990000,NA,NA,NA,4058000,NA,"DRIO"
"1016","DRMA",1.01352718113807,11.4503184319028,NA,1.56,1.49971303803867,"Dermata Therapeutics, Inc.",12659517,-3.092,8328630,"2021-09-30",12603341,NA,13685787,NA,NA,NA,NA,NA,NA,13685787,NA,NA,NA,1195232,1195232,833,-33429418,NA,45919140,NA,12490555,12490555,NA,769863,NA,NA,NA,NA,NA,"DRMA"
"1017","DRRX",3.04898447924228,9.12179822268688,NA,0.7871,0.254314171933927,"DURECT Corporation",176408144,-0.114,227506000,"2021-09-30",55412000,946000,87250000,NA,4132000,6169000,NA,411000,NA,97962000,NA,1684000,NA,9565000,33935000,23000,-519041000,2000,583043000,2000,64027000,57858000,NA,1894000,NA,NA,25384000,2270000,20496000,"DRRX"
"1018","DRTT",2.62054560226944,2.54363200654626,NA,2.27,0.850967837196167,"DIRTT Environmental Solutions L",190296160,-0.493,85334600,"2021-09-30",43288000,17683000,87038000,NA,84501000,1448000,7877000,4900000,NA,185764000,6243000,552000,NA,34218000,103822000,181762000,-95291000,-16552000,12023000,-16552000,81942000,72617000,2794000,18006000,NA,NA,NA,17381000,29736000,"DRTT"
"1019","DRUG",1.7526880052083,31.3799174095992,NA,3.15,1.63754188859533,"Bright Minds Biosciences Inc.",34001788,-0.766,11846900,"2021-09-30",19760015,110146,20038368,NA,NA,NA,2000,NA,NA,20040368,NA,NA,NA,638573,638573,27080281,-9209857,1531371,NA,1531371,19401795,19399795,NA,596573,NA,NA,NA,NA,NA,"DRUG"
"1020","DRVN",-5.72852859137188,1.00703428321902,125.02069,33.01,-5.69612259529215,"Driven Brands Holdings Inc.",5461676544,0.261,167380000,"2021-09-25",115365000,113526000,339005000,NA,2026731000,1810085000,817665000,12626000,NA,5006112000,28248000,472716000,1164000,336637000,3330615000,1674000,80364000,-12047000,1604342000,-12047000,1674333000,-953417000,39833000,72458000,9878000,15445000,NA,44259000,1652924000,"DRVN"
"1021","DSAC",-11.9753487555802,0.160307304065771,NA,9.92,-1.03441662857143,"Duddell Street Acquisition Corp",216781248,NA,17500000,"2021-09-30",98665,NA,479987,NA,NA,NA,NA,175084390,NA,175564377,NA,190672500,NA,2994168,193666668,437,-18102728,NA,NA,NA,-18102291,-18102291,NA,1607415,NA,NA,NA,NA,NA,"DSAC"
"1022","DSEY",-2.02391961619651,1.09955566230335,NA,13.33,-6.56646624768302,"Diversey Holdings, Ltd.",4218658048,-0.936,317431008,"2021-09-30",68800000,483500000,915600000,NA,390500000,459500000,2193800000,136300000,58200000,4095700000,31400000,678400000,NA,832700000,3526800000,NA,-684400000,-180400000,1433700000,-180400000,568900000,-2084400000,3800000,396800000,2700000,2.1e+07,NA,327500000,1979800000,"DSEY"
"1023","DSGN",2.31142867066431,71.8056312443233,NA,16.6,7.03461037502807,"Design Therapeutics, Inc.",905072256,-0.988,55662500,"2021-09-30",357662000,47000,395290000,NA,5063000,NA,NA,NA,NA,400353000,NA,11000,NA,5505000,8789000,6000,-36391000,-4000,427953000,-4000,391564000,391564000,104000,2216000,NA,NA,36056000,NA,NA,"DSGN"
