"","Symbol","Price/Book Ratio","CurrentRatio","NetCurrentRatio","P.E.Ratio","Ask","BookPrice","Name","Trade.Time","Market.Capitalization","Earnings.Share","Price.Book","Shares.Outstanding","Currency","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","deferredLongTermAssetCharges","accountsPayable","deferredLongTermLiab","inventory","shortLongTermDebt","shortTermInvestments","longTermDebt","X.ticker."
"24","LNC",0.445408834299962,2.78109945225368,0.114819264962714,6.8871593,48,107.29468465075,"Lincoln National Corporation","2022-06-17 16:00:02",8217347584,6.939,0.5583662,171947008,"USD","2021-12-31",2612000000,580000000,42142000000,123356000000,184000000,1778000000,6641000000,213200000000,387301000000,6337000000,344512000000,NA,15153000000,367029000000,4735000000,9096000000,6441000000,NA,6441000000,20272000000,18449000000,34468000000,NA,8398000000,203000000,NA,300000000,NA,7150000000,"LNC"
"25","MFA",0.438524902629155,47.0914945492251,1.27361418497341,9.077586,10.53,24.01231760285,"MFA Financial, Inc.","2022-06-17 16:00:02",1078851072,1.16,0.4708881,102455000,"USD","2021-12-31",304696000,7997382000,8401829000,NA,39370000,61076000,21400000,616013000,9139688000,47751000,NA,NA,178415000,6596840000,4326000,-1279484000,45578000,3772238000,45578000,2542658000,2460182000,99751000,NA,NA,NA,NA,NA,NA,6378782000,"MFA"
"26","MHO",0.601725603616215,6.15254834841606,1.87270514130702,2.6401353,65,59.6451245722689,"M/I Homes, Inc.","2022-06-17 16:00:02",1015284992,13.594,0.59593195,28288800,"USD","2022-03-31",217700000,NA,3001613000,57309000,87683000,16400000,NA,143506000,3306511000,2828000,370033000,NA,487865000,1602822000,301000,1437160000,-80063000,346291000,NA,1703689000,1687289000,201361000,10251000,281387000,NA,2582552000,NA,NA,693378000,"MHO"
"27","PNNT",0.600212980224178,2.71433914641807,0.0861922884776296,4.808444,7.25,10.2463628033152,"PennantPark Investment Corporat","2022-06-17 16:00:02",406709952,1.279,0.6122449,66131700,"USD","2021-12-31",39581423,32837254,72418677,1445389742,NA,NA,NA,NA,1517808419,13090554,NA,NA,26680040,840199028,67045,-109450628,NA,786992974,NA,677609391,677609391,NA,NA,595350,NA,NA,NA,NA,813518988,"PNNT"
"28","RWT",0.583576448442907,7.79174256223437,1.00195190505934,3.6855943,7.11,12.0121368302922,"Redwood Trust, Inc.","2022-06-17 16:00:02",843267968,1.902,0.5834374,120295000,"USD","2022-03-31",409000000,12424000000,12833000000,995000000,NA,NA,NA,425000000,14253000000,NA,325000000,NA,1647000000,12808000000,1445000000,NA,NA,NA,NA,1445000000,1445000000,NA,NA,NA,NA,NA,NA,NA,10836000000,"RWT"
"29","RYAM",0.222640948971211,2.18894808538962,0.475948392113479,2.5371747,2.86,12.2618956257802,"Rayonier Advanced Materials Inc","2022-06-17 16:00:02",174308048,1.076,0.22142914,63849100,"USD","2021-12-31",253307000,203015000,776120000,NA,1164478000,NA,31432000,472994000,2445024000,75994000,372536000,NA,354563000,1630681000,637000,489342000,-84470000,408834000,-84470000,814343000,782911000,19000000,335119000,169456000,NA,230691000,37303000,38510000,889270000,"RYAM"
"30","SCX",0.604479391504741,2.36073262052727,1.18602012915236,3.6960986,7.48,11.911076045251,"L.S. Starrett Company (The)","2022-06-17 16:00:20",48001104,1.948,0.5428636,6666820,"USD","2021-12-31",9437000,34535000,122319000,NA,41623000,1015000,4761000,18601000,188319000,200000,37648000,NA,51814000,103134000,7252000,79941000,-58877000,56869000,-58877000,85185000,79409000,100000,18601000,15108000,NA,63874000,21969000,NA,9158000,"SCX"
"31","SWZ",0.648663688623343,5.89557910631396,5.89557910631396,4.5783916,10.51,11.4977917546529,"Swiss Helvetia Fund, Inc. (The)","2022-06-17 15:42:08",98539976,1.629,0.64865196,13212300,"USD","2021-12-31",807367,1284017,2108377,150161517,NA,NA,NA,NA,152269894,NA,NA,NA,357620,357620,95948024,55964250,NA,NA,NA,151912274,151912274,NA,NA,NA,NA,NA,NA,NA,NA,"SWZ"
"32","TDF",0.493459834048906,2.22178901292249,2.22178901292249,1.6432816,17.15,26.3445967796806,"Templeton Dragon Fund, Inc.","2022-06-17 16:00:02",439453312,7.911,0.49345228,33804100,"USD","2021-06-30",4904586,3697339,8601925,883000334,NA,NA,NA,2824746,894427005,NA,NA,NA,3871621,3871621,360700870,529854514,NA,NA,NA,890555384,890555384,NA,NA,2749729,NA,NA,NA,NA,NA,"TDF"
"33","TPC",0.320022346139473,2.17346448987768,1.26590189100734,8.032015,10.39,26.6543880687966,"Tutor Perini Corporation","2022-06-17 16:00:02",436737696,1.062,0.26764143,51200200,"USD","2021-12-31",202197000,3379968000,3862492000,NA,483107000,205143000,85068000,89088000,4724898000,1030634000,254760000,18799000,1777113000,3051178000,51096000,514310000,-43635000,1133150000,-43635000,1654921000,1364710000,280327000,NA,512056000,2100000,NA,24406000,NA,969248000,"TPC"
"34","TRTX",0.500625444972274,117.05313110213,1.37352057408466,11.571255,10.5,18.9762624731492,"TPG RE Finance Trust, Inc.","2022-06-17 16:00:02",733265088,0.821,0.49952677,77185800,"USD","2021-12-31",260635000,4894011000,5155254000,NA,60622000,NA,NA,2144000,5218020000,28356000,1375000,NA,44042000,3753314000,77000,-247265000,NA,1711886000,NA,1464698000,1464698000,608000,NA,NA,NA,NA,NA,NA,3707897000,"TRTX"
"35","TWN",0.635254460600204,11.9415094113641,10.040968093486,2.5216365,41.16,40.3617780092069,"Taiwan Fund, Inc. (The)","2022-06-17 15:59:59",191543360,10.168,0.635251,7470490,"USD","2022-02-28",13784444,160621,13958502,288953912,NA,NA,NA,NA,302912414,NA,221249,NA,1168906,1390155,251877913,49644346,NA,NA,NA,301522259,301522259,NA,NA,906272,NA,NA,NA,NA,NA,"TWN"
"36","UFI",0.602922953361695,3.13530270832787,1.66047601624698,9.276564,12.92,20.4172033467188,"Unifi, Inc. New","2022-06-17 16:00:55",227461728,1.327,0.60204434,18477800,"USD","2022-03-27",52972000,121195000,358525000,NA,224598000,NA,NA,10059000,593182000,30415000,11730000,NA,114351000,215917000,1845000,354693000,-46796000,67523000,-46796000,377265000,377265000,20978000,2670000,67134000,NA,163380000,14509000,NA,82505000,"UFI"
"37","UNM",0.591787353084724,24.4066969544001,0.247105582358874,7.205134,35,55.0197645880896,"Unum Group","2022-06-17 16:00:02",6547653632,4.519,0.6187291,201095008,"USD","2021-12-31",75000000,1519900000,14504900000,44499500000,511800000,352200000,2281000000,7966200000,70115600000,571700000,54602700000,NA,594300000,58699200000,30700000,11853200000,-2875600000,2408100000,354100000,11416400000,11064200000,11522000000,NA,NA,NA,NA,NA,1388000000,3442200000,"UNM"
"38","FRD",0.617409720874847,2.78079359913067,2.05194001326736,1.7741237,8.24,13.2812934928625,"Friedman Industries Inc.","2022-06-17 16:00:00",56219280,4.622,0.6214946,6856010,"USD","2021-12-31",3066427,26243498,121851033,NA,27616330,NA,NA,972649,150440012,4643640,115168,NA,43818798,59383331,8344975,66506491,-14163992,30369207,-6858575,91056681,91056681,7986615,820568,37631854,NA,84554493,NA,NA,15187824,"FRD"
"39","SSY",0.334573000523984,2.92314410480349,2.51780341023069,1.4245416,1.22,3.01877296290704,"SunLink Health Systems, Inc.","2022-06-17 16:00:00",7023691,0.709,0.33103898,6954150,"USD","2021-12-31",8315000,7945000,20082000,NA,8425000,NA,1214000,462000,30183000,627000,305000,NA,6870000,7976000,3478000,8155000,-162000,10736000,-162000,22207000,20993000,NA,NA,1161000,NA,1894000,NA,NA,NA,"SSY"
